Weight totals Report

uiBus: [L] Sum of weights / gross weight is 0,010 kg (no limit specified)
startButton: [L] Sum of weights / gross weight is 0,050 kg (no limit specified)
display: [L] Sum of weights / gross weight is 0,150 kg (no limit specified)
buzzer: [L] Sum of weights / gross weight is 0,050 kg (no limit specified)
timeSelector: [L] Sum of weights / gross weight is 0,020 kg (no limit specified)
stopButton: [L] Sum of weights / gross weight is 0,050 kg (no limit specified)
lightLamp: [L] Sum of weights / gross weight is 0,100 kg (no limit specified)
doorLock: [L] Sum of weights / gross weight is 0,200 kg (no limit specified)
uiMem: [L] Sum of weights / gross weight is 0,020 kg (no limit specified)
uiCPU: [L] Sum of weights / gross weight is 0,050 kg (no limit specified)
uiSubsystem: [L] Sum of weights / gross weight is 0,700 kg (no limit specified)
heatBus: [L] Sum of weights / gross weight is 0,010 kg (no limit specified)
magnetron: [L] Sum of weights / gross weight is 2,500 kg (no limit specified)
turntable: [L] Sum of weights / gross weight is 0,800 kg (no limit specified)
tempsensor: [L] Sum of weights / gross weight is 0,030 kg (no limit specified)
doorSensor: [L] Sum of weights / gross weight is 0,040 kg (no limit specified)
heatMem: [L] Sum of weights / gross weight is 0,020 kg (no limit specified)
heatCPU: [L] Sum of weights / gross weight is 0,050 kg (no limit specified)
heatingSubsystem: [L] Sum of weights / gross weight is 3,450 kg (no limit specified)
MicrowaveSystem_impl_Instance: [L] Sum of weights / gross weight is 4,150 kg (no limit specified)
